M_AMI,M_SLR,AVG_pi,pi_initial,res_time
0.13800722098619173,0.0035005351587451454,0.20072182904836458,0.06271460806217287,35
0.09211378240842005,0.0005862267214319944,0.23743120067881968,0.14531741827039962,99
0.10950826763788071,0.0005768216369147846,0.20957515072101435,0.10006688308313363,67
0.07651660598596877,-0.006321989877830104,0.14421366877653088,0.06769706279056212,10
-0.08065942540514401,-0.0002741592132982895,0.20873780089919572,0.2893972263043397,77
0.06342857024921053,-0.0003548465728266568,0.19584735350805751,0.13241878325884698,181
0.10802550008043847,0.000441660913858706,0.21135283397080035,0.10332733389036187,118
0.18889191122157406,-0.00020720143006704666,0.23263571242437828,0.04374380120280421,276
0.11531874027742021,2.010497797868507e-05,0.1870777069752936,0.07175896669787339,341
-0.17516407120590108,-8.494051571684313e-05,0.2164020415790868,0.3915661127849879,364
